id;start_date;end_date;language
1;2020-12-02T09:56:56;2020-12-02T07:47:11;SPANISH
2;2020-12-01T14:47:07;2020-12-02T09:51:32;SPANISH
3;2020-12-02T05:42:26;2020-12-01T16:16:35;FRENCH
4;2020-12-01T20:59:57;2020-12-02T08:31:23;FRENCH
5;2020-12-02T06:30:15;2020-12-02T11:17:14;FRENCH
6;2020-12-02T00:22:36;2020-12-02T12:30:50;FRENCH
7;2020-12-02T02:07:56;2020-12-01T19:58:47;FRENCH
8;2020-12-02T01:04:09;2020-12-02T11:20:17;SPANISH
9;2020-12-01T23:45:18;2020-12-01T20:26:41;SPANISH
10;2020-12-02T07:57:22;2020-12-01T18:31:52;SPANISH
